Fund-AU	DESCRIPTION
100-100001         	General Fund Level            
100-101110         	County Commissioners          
100-102110         	Clerk to the Board            
100-105002         	County Administration         
100-105010         	County Admin-MWBE             
100-105110         	Reserve for Contingency       
100-105210         	Intergovernmental Services    
100-110110         	County Attorney               
100-110210         	Law Library                   
100-115002         	HR Administration             
100-115110         	HR - Awards Banquet           
100-115210         	HR - Other                    
100-120110         	Budget and Management         
100-125110         	Internal Audit                
100-125120         	IA Energy Fellowship Grant    
100-130110         	Finance                       
100-135002         	Purchasing Administration     
100-135010         	Purchasing Admin-MWBE         
100-135110         	Purchasing Property and Other 
100-140002         	Informatn Srvs Administration 
100-140110         	IS Computer Services          
100-140115         	IS Program Management         
100-140210         	IS Client Services            
100-140310         	IS Technical Support Services 
100-140410         	IS Application Software Servs 
100-140510         	IS Telecommunications         
100-145110         	Tax - Greensboro              
100-145210         	Tax - High Point              
100-150110         	ROD - Greensboro              
100-150210         	ROD - High Point              
100-150510         	Automation Enhance & Preservtn
100-155002         	Elections Administration      
100-155110         	Elections - Other             
100-155210         	Elections - Training          
100-160002         	P&D Administration            
100-160110         	P&D - Planning/Zoning         
100-160510         	P&D-Community Services        
100-165002         	CED Administration            
100-165110         	Community Initiatives         
100-165210         	Community Services            
100-165220         	CS - Paved Streets            
100-165230         	CS - Lighting                 
100-165240         	CS - Housing                  
100-170001         	Geographic Information Systems
100-175002         	Facilities Administration     
100-175010         	Fac Admin - Central Supply    
100-175110         	Fac Bldgs - Administrative    
100-175120         	Fac Bldgs - Rental            
100-175210         	Fac Op - Housekeeping/Grounds 
100-175220         	Fac Op-Gen/Mechanicl Maint Shp
100-175230         	Fac Op - Sign Shop            
100-175240         	Fac Op - Prison Farm          
100-175310         	Distribution Services         
100-175410         	Parking                       
100-175510         	Court Facility Fees           
100-175520         	Non Court Facility Fees       
100-175610         	Property Managment            
100-180110         	Security                      
100-185110         	Property Management           
100-185120         	Parks                         
100-185130         	Open Space                    
100-185210         	Court Facility Fees           
100-185220         	Non Court Facility Fees       
100-185230         	Law Library                   
100-186110         	Property Management           
100-190110         	Fleet Operation               
100-190210         	Parking Areas                 
100-191110         	Fleet                         
100-210002         	Human Resrcs-Fiscal-Technology
100-210003         	Information Technology        
100-210005         	RWJ Foundation                
100-210105         	AIDS-Federal                  
100-210110         	AIDS-State                    
100-210111         	AIDS-Federal and State        
100-210115         	Cardiovascular Prev WiseWoman 
100-210120         	Case Management-Elderly       
100-210125         	Case Management-Frail/Elderly 
100-210130         	Child Abuse                   
100-210135         	Child Abuse Prevention        
100-210140         	Community Administration      
100-210141         	U Way Univ Newborn Home Visit 
100-210142         	NC Project Launch             
100-210145         	Child Care Nursing            
100-210146         	Child Care - NAP SACC         
100-210150         	Child Care Nursing-Smart Start
100-210155         	Child Fatality Prevention     
100-210160         	Communicable Disease Education
100-210165         	Communicable Disease Investgtn
100-210170         	Community Alternatives Program
100-210175         	Community Health Response Prog
100-210180         	Community Nursing             
100-210185         	Community Servs Coord-MedMax  
100-210190         	Child Services Coordination   
100-210191         	Care Coordination for Children
100-210195         	Community Transitn Coordinator
100-210200         	Dental Education-Smart Start  
100-210201         	Dental Health - NCCF Donation 
100-210205         	Dental Health-Adult Emerg Care
100-210210         	Health Check                  
100-210215         	Healthy Carolinians-A         
100-210220         	Healthy Carolinians-B         
100-210225         	HIV/STD Nontraditnl Test Sites
100-210230         	Managemnt Support-Child Health
100-210235         	Maternal Care Coordination    
100-210240         	School Nursing                
100-210245         	Smart Start Case Management   
100-210246         	Duke Endowment                
100-210250         	Statewide Health Promotion    
100-210251         	Urban Oasis Grant             
100-210252         	Mobile Oasis Farmers Mrkt Grt 
100-210255         	Syphillis Elimination         
100-210260         	Tobacco Prevention            
100-210265         	Tobacco Preventn-College Proj 
100-210270         	Tobacco Prevention-Youth Proj 
100-210271         	YMCA-Pioneer Healthier Commun 
100-210272         	Foundation Healthy High Pt Grt
100-210275         	Triad Baby Love               
100-210280         	Health Disparities            
100-210281         	Community Transformation      
100-210282         	Healthy Communities           
100-210283         	NC AT&T Be Safe Grant         
100-210285         	Prescription Drug Overdose    
100-210305         	Adult Administration          
100-210306         	Healthy Lifestyles Learning   
100-210310         	Breast/Cervical Cancer Control
100-210311         	Education-Vaccination Project 
